Nombre,URL,Categoria,Logo
Quimera 102.5 FM,https://streaming.seytratec.com/quimera,Variada,https://cdn.radoxo.com/images/ecuador/radio-quimera.webp?v=1778176802
Selva 94.1 FM,https://radio.kapchosting.com/8034/stream,Variada,https://cdn.radoxo.com/images/ecuador/radio-selva.webp?v=1778176802
Arcoiris Tena,https://securestream.radioshd.info:7073,Variada,https://cdn.radoxo.com/images/ecuador/radio-arcoiris.webp?v=1778176802
Canela 106.1 FM,https://canelaradio.makrodigital.com:9202/stream,Variada,https://cdn.radoxo.com/images/ecuador/canela-nueva-tena.webp?v=1778176802
